Frame number,449
First frame,416
Point frequency,100
Analog frequency,100

Time,MJ06:LHEE,,,MJ06:LTOE,,,MJ06:RHEE,,,MJ06:RTOE,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
6.47,401.482,-130.471,93.4041,424.33,-363.923,132.39,211.011,274.252,64.7539,162.268,45.1795,67.2649
6.48,404.49,-153.121,89.9025,428.324,-384.69,139.153,210.995,274.266,64.7738,162.194,45.205,67.2304
6.49,406.671,-173.363,87.4091,432.15,-402.798,144.775,211.009,274.256,64.8141,162.164,45.198,67.1365
6.5,407.715,-189.989,85.5581,436.164,-418.266,148.783,211.016,274.231,64.8595,162.157,45.1925,67.0948
6.51,407.92,-204.469,83.9427,439.868,-431.562,151.044,211.027,274.212,64.9036,162.131,45.3559,67.0118
6.52,406.711,-215.664,82.6067,444.168,-441.895,151.943,211.022,274.197,64.9635,162.122,45.4075,66.9574
6.53,404.465,-223.89,81.051,447.081,-449.013,151.662,210.988,274.2,65.0873,162.167,45.4304,66.8563
6.54,401.762,-229.887,79.2666,448.028,-453.622,150.255,211.003,274.194,65.1847,162.193,45.4124,66.8048
6.55,399.86,-231.991,78.8557,445.636,-456.592,147.097,211.074,274.17,65.3251,162.207,45.3648,66.7293
6.56,399.008,-232.578,78.5286,440.64,-459.11,141.885,211.139,274.18,65.5237,162.205,45.3205,66.646
